Country Code,GDP Year (PPP),"GDP per capita, PPP (current international $)",GDP Year (USD),GDP per capita (current US$)
ABW,2024,51712.1531358934,2024,38590.5650288641
AFE,2024,4635.1250488764,2024,1628.22728900442
AFG,2024,2236.19907311431,2024,416.871146273728
AFW,2024,6840.33388231922,2024,1416.22841156776
AGO,2024,9963.59020874287,2024,2720.81900669715
ALB,2024,26701.7649330157,2024,11374.0085781236
AND,2024,75394.8581564469,2024,49357.437070178
ARB,2024,18963.7188719868,2024,7602.41115691284
ARE,2024,79343.7793099888,2024,50273.5126243239
ARG,2024,30475.3876517556,2024,13969.7836603737
ARM,2024,22856.32510991,2024,8556.21406956719
ASM,,,2022,18017.4589383973
ATG,2024,33351.5904481886,2024,23059.8330702839
AUS,2024,72117.8826659555,2024,64609.9865116088
AUT,2024,75774.4136543206,2024,58268.8787651601
AZE,2024,25146.3588844273,2024,7294.64276088105
BDI,2024,1193.03528498996,2024,216.231928531758
BEL,2024,74224.5510568017,2024,56581.9375642531
BEN,2024,4441.00443511982,2024,1485.38018885134
BFA,2024,2901.04214238045,2024,982.493100418428
BGD,2024,9660.77962818873,2024,2593.41611680774
BGR,2024,41969.595471884,2024,17596.9167621233
BHR,2024,67230.1000247874,2024,29717.1424605273
BHS,2024,41257.7650774105,2024,39455.4466548546
BIH,2024,25148.0128390147,2024,9397.90942855997
BLR,2024,33166.3827902975,2024,8605.60954569694
BLZ,2024,14367.3539278152,2024,7681.24400583113
BMU,2024,118727.973294368,2024,142250.433195123
BOL,2024,12896.3370149215,2024,4421.16609889999
BRA,2024,22370.9182253225,2024,10310.5486973693
BRB,2024,24539.6254147583,2024,26897.2002039176
BRN,2024,90009.8912498003,2024,33153.4738913513
BTN,2024,17762.4053956096,2024,4228.05102403654
BWA,2024,20612.4785435561,2024,7649.81663744354
CAF,2024,1264.93671692975,2024,516.160999996036
CAN,2024,65482.9454728344,2024,55015.7066917734
CEB,2024,50542.6280755689,2024,24616.0957872816
CHE,2024,97467.7447151829,2024,107702.065940312
CHI,,,2023,74585.5224096294
CHL,2024,36070.892945837,2024,16658.9652720351
CHN,2024,27139.5181633767,2024,13293.1162269366
CIV,2024,7680.36980823038,2024,2727.8935220697
CMR,2024,5597.10321648993,2024,1830.00833684727
COD,2024,1823.27705135453,2024,692.887665085098
COG,2024,7003.66225819816,2024,2482.2489948456
COL,2024,22439.4001359818,2024,7951.08624019412
COM,2024,4047.95264193561,2024,1857.87060684189
CPV,2024,11184.7207350908,2024,5170.20531932535
CRI,2024,31552.1489834288,2024,18853.2828705886
CSS,2024,38670.9082440011,2024,19923.5745910977
CUB,,,2020,9605.27914559614
CUW,2024,32740.7736763943,2024,22832.895498987
